# Assembly name:  ASM161421v1
# Organism name:  Nannochloropsis gaditana (eukaryotes)
# Infraspecific name:  strain=CCMP527
# Taxid:          72520
# BioSample:      SAMN04613695
# BioProject:     PRJNA65109
# Submitter:      Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences
# Date:           2016-04-08
# Assembly type:  haploid
# Release type:   major
# Assembly level: Contig
# Genome representation: full
# WGS project:    AFGN01
# Assembly method: Velvet v. 1.0.14
# Genome coverage: 30x
# Sequencing technology: Illumina GA IIx
# GenBank assembly accession: GCA_001614215.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_001614265.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
contig74	unplaced-scaffold	na	na	AFGN01000020.1	<>	na	Primary Assembly	954	na
contig75	unplaced-scaffold	na	na	AFGN01000021.1	<>	na	Primary Assembly	12341	na
contig76	unplaced-scaffold	na	na	AFGN01000022.1	<>	na	Primary Assembly	22597	na
contig77	unplaced-scaffold	na	na	AFGN01000023.1	<>	na	Primary Assembly	11877	na
contig78	unplaced-scaffold	na	na	AFGN01000024.1	<>	na	Primary Assembly	7870	na
contig79	unplaced-scaffold	na	na	AFGN01000025.1	<>	na	Primary Assembly	1857	na
contig80	unplaced-scaffold	na	na	AFGN01000026.1	<>	na	Primary Assembly	42123	na
contig97	unplaced-scaffold	na	na	AFGN01000027.1	<>	na	Primary Assembly	1730	na
contig98	unplaced-scaffold	na	na	AFGN01000028.1	<>	na	Primary Assembly	2492	na
contig99	unplaced-scaffold	na	na	AFGN01000029.1	<>	na	Primary Assembly	3672	na
contig104	unplaced-scaffold	na	na	AFGN01000030.1	<>	na	Primary Assembly	5659	na
contig105	unplaced-scaffold	na	na	AFGN01000031.1	<>	na	Primary Assembly	559	na
contig106	unplaced-scaffold	na	na	AFGN01000032.1	<>	na	Primary Assembly	2287	na
contig107	unplaced-scaffold	na	na	AFGN01000033.1	<>	na	Primary Assembly	3600	na
contig110	unplaced-scaffold	na	na	AFGN01000034.1	<>	na	Primary Assembly	15302	na
contig111_1	unplaced-scaffold	na	na	AFGN01000035.1	<>	na	Primary Assembly	23830	na
contig111_2	unplaced-scaffold	na	na	AFGN01000036.1	<>	na	Primary Assembly	15869	na
contig124	unplaced-scaffold	na	na	AFGN01000037.1	<>	na	Primary Assembly	375	na
contig125	unplaced-scaffold	na	na	AFGN01000038.1	<>	na	Primary Assembly	11588	na
contig126	unplaced-scaffold	na	na	AFGN01000039.1	<>	na	Primary Assembly	2612	na
contig127	unplaced-scaffold	na	na	AFGN01000040.1	<>	na	Primary Assembly	2748	na
contig128	unplaced-scaffold	na	na	AFGN01000041.1	<>	na	Primary Assembly	12801	na
contig129	unplaced-scaffold	na	na	AFGN01000042.1	<>	na	Primary Assembly	845	na
contig169_1	unplaced-scaffold	na	na	AFGN01000043.1	<>	na	Primary Assembly	6843	na
contig169_2	unplaced-scaffold	na	na	AFGN01000044.1	<>	na	Primary Assembly	2251	na
contig169_3	unplaced-scaffold	na	na	AFGN01000045.1	<>	na	Primary Assembly	6173	na
contig170	unplaced-scaffold	na	na	AFGN01000046.1	<>	na	Primary Assembly	17309	na
contig187	unplaced-scaffold	na	na	AFGN01000047.1	<>	na	Primary Assembly	5117	na
contig188	unplaced-scaffold	na	na	AFGN01000048.1	<>	na	Primary Assembly	14089	na
contig189	unplaced-scaffold	na	na	AFGN01000049.1	<>	na	Primary Assembly	1959	na
contig190	unplaced-scaffold	na	na	AFGN01000050.1	<>	na	Primary Assembly	52072	na
contig191	unplaced-scaffold	na	na	AFGN01000051.1	<>	na	Primary Assembly	4557	na
contig192	unplaced-scaffold	na	na	AFGN01000052.1	<>	na	Primary Assembly	21672	na
contig193	unplaced-scaffold	na	na	AFGN01000053.1	<>	na	Primary Assembly	57716	na
contig206	unplaced-scaffold	na	na	AFGN01000054.1	<>	na	Primary Assembly	3595	na
contig207	unplaced-scaffold	na	na	AFGN01000055.1	<>	na	Primary Assembly	7534	na
contig208	unplaced-scaffold	na	na	AFGN01000056.1	<>	na	Primary Assembly	3775	na
contig209	unplaced-scaffold	na	na	AFGN01000057.1	<>	na	Primary Assembly	75145	na
contig214	unplaced-scaffold	na	na	AFGN01000058.1	<>	na	Primary Assembly	20042	na
contig218	unplaced-scaffold	na	na	AFGN01000059.1	<>	na	Primary Assembly	322	na
contig220	unplaced-scaffold	na	na	AFGN01000060.1	<>	na	Primary Assembly	2053	na
contig227	unplaced-scaffold	na	na	AFGN01000061.1	<>	na	Primary Assembly	17677	na
contig228	unplaced-scaffold	na	na	AFGN01000062.1	<>	na	Primary Assembly	22313	na
contig234	unplaced-scaffold	na	na	AFGN01000063.1	<>	na	Primary Assembly	8328	na
contig235	unplaced-scaffold	na	na	AFGN01000064.1	<>	na	Primary Assembly	1293	na
contig236	unplaced-scaffold	na	na	AFGN01000065.1	<>	na	Primary Assembly	35025	na
contig237	unplaced-scaffold	na	na	AFGN01000066.1	<>	na	Primary Assembly	2321	na
contig256	unplaced-scaffold	na	na	AFGN01000067.1	<>	na	Primary Assembly	11755	na
contig268_2	unplaced-scaffold	na	na	AFGN01000068.1	<>	na	Primary Assembly	1014	na
contig273	unplaced-scaffold	na	na	AFGN01000069.1	<>	na	Primary Assembly	12693	na
contig274	unplaced-scaffold	na	na	AFGN01000070.1	<>	na	Primary Assembly	5899	na
contig277	unplaced-scaffold	na	na	AFGN01000071.1	<>	na	Primary Assembly	4469	na
contig279	unplaced-scaffold	na	na	AFGN01000072.1	<>	na	Primary Assembly	13821	na
contig283	unplaced-scaffold	na	na	AFGN01000073.1	<>	na	Primary Assembly	2329	na
contig284	unplaced-scaffold	na	na	AFGN01000074.1	<>	na	Primary Assembly	88223	na
contig285	unplaced-scaffold	na	na	AFGN01000075.1	<>	na	Primary Assembly	12282	na
contig288	unplaced-scaffold	na	na	AFGN01000076.1	<>	na	Primary Assembly	4509	na
contig291	unplaced-scaffold	na	na	AFGN01000077.1	<>	na	Primary Assembly	16764	na
contig293	unplaced-scaffold	na	na	AFGN01000078.1	<>	na	Primary Assembly	2602	na
contig294	unplaced-scaffold	na	na	AFGN01000079.1	<>	na	Primary Assembly	17517	na
contig295	unplaced-scaffold	na	na	AFGN01000080.1	<>	na	Primary Assembly	1588	na
contig296	unplaced-scaffold	na	na	AFGN01000081.1	<>	na	Primary Assembly	663	na
contig298	unplaced-scaffold	na	na	AFGN01000082.1	<>	na	Primary Assembly	13258	na
contig300	unplaced-scaffold	na	na	AFGN01000083.1	<>	na	Primary Assembly	10504	na
contig301	unplaced-scaffold	na	na	AFGN01000084.1	<>	na	Primary Assembly	2071	na
contig302	unplaced-scaffold	na	na	AFGN01000085.1	<>	na	Primary Assembly	3167	na
contig303	unplaced-scaffold	na	na	AFGN01000086.1	<>	na	Primary Assembly	1858	na
contig304	unplaced-scaffold	na	na	AFGN01000087.1	<>	na	Primary Assembly	3849	na
contig313	unplaced-scaffold	na	na	AFGN01000088.1	<>	na	Primary Assembly	3037	na
contig314	unplaced-scaffold	na	na	AFGN01000089.1	<>	na	Primary Assembly	7344	na
contig315	unplaced-scaffold	na	na	AFGN01000090.1	<>	na	Primary Assembly	15689	na
contig316	unplaced-scaffold	na	na	AFGN01000091.1	<>	na	Primary Assembly	2236	na
contig317	unplaced-scaffold	na	na	AFGN01000092.1	<>	na	Primary Assembly	21670	na
contig322	unplaced-scaffold	na	na	AFGN01000093.1	<>	na	Primary Assembly	673	na
contig323	unplaced-scaffold	na	na	AFGN01000094.1	<>	na	Primary Assembly	9728	na
contig324	unplaced-scaffold	na	na	AFGN01000095.1	<>	na	Primary Assembly	9681	na
contig325	unplaced-scaffold	na	na	AFGN01000096.1	<>	na	Primary Assembly	19124	na
contig327	unplaced-scaffold	na	na	AFGN01000097.1	<>	na	Primary Assembly	3537	na
contig328	unplaced-scaffold	na	na	AFGN01000098.1	<>	na	Primary Assembly	3038	na
contig330	unplaced-scaffold	na	na	AFGN01000099.1	<>	na	Primary Assembly	2053	na
contig331	unplaced-scaffold	na	na	AFGN01000100.1	<>	na	Primary Assembly	5182	na
contig332	unplaced-scaffold	na	na	AFGN01000101.1	<>	na	Primary Assembly	1100	na
contig333	unplaced-scaffold	na	na	AFGN01000102.1	<>	na	Primary Assembly	2797	na
contig334	unplaced-scaffold	na	na	AFGN01000103.1	<>	na	Primary Assembly	8397	na
contig335	unplaced-scaffold	na	na	AFGN01000104.1	<>	na	Primary Assembly	237	na
contig336	unplaced-scaffold	na	na	AFGN01000105.1	<>	na	Primary Assembly	3674	na
contig337	unplaced-scaffold	na	na	AFGN01000106.1	<>	na	Primary Assembly	28190	na
contig339	unplaced-scaffold	na	na	AFGN01000107.1	<>	na	Primary Assembly	2106	na
contig343	unplaced-scaffold	na	na	AFGN01000108.1	<>	na	Primary Assembly	24968	na
contig348	unplaced-scaffold	na	na	AFGN01000109.1	<>	na	Primary Assembly	5237	na
contig349_1	unplaced-scaffold	na	na	AFGN01000110.1	<>	na	Primary Assembly	12422	na
contig349_2	unplaced-scaffold	na	na	AFGN01000111.1	<>	na	Primary Assembly	70462	na
contig350	unplaced-scaffold	na	na	AFGN01000112.1	<>	na	Primary Assembly	12737	na
contig352	unplaced-scaffold	na	na	AFGN01000113.1	<>	na	Primary Assembly	2026	na
contig353	unplaced-scaffold	na	na	AFGN01000114.1	<>	na	Primary Assembly	1256	na
contig354	unplaced-scaffold	na	na	AFGN01000115.1	<>	na	Primary Assembly	391	na
contig355	unplaced-scaffold	na	na	AFGN01000116.1	<>	na	Primary Assembly	9638	na
contig356	unplaced-scaffold	na	na	AFGN01000117.1	<>	na	Primary Assembly	762	na
contig357	unplaced-scaffold	na	na	AFGN01000118.1	<>	na	Primary Assembly	900	na
contig358	unplaced-scaffold	na	na	AFGN01000119.1	<>	na	Primary Assembly	2478	na
contig359	unplaced-scaffold	na	na	AFGN01000120.1	<>	na	Primary Assembly	632	na
contig360	unplaced-scaffold	na	na	AFGN01000121.1	<>	na	Primary Assembly	371	na
contig364	unplaced-scaffold	na	na	AFGN01000122.1	<>	na	Primary Assembly	20106	na
contig365	unplaced-scaffold	na	na	AFGN01000123.1	<>	na	Primary Assembly	1441	na
contig366_1	unplaced-scaffold	na	na	AFGN01000124.1	<>	na	Primary Assembly	6252	na
contig366_2	unplaced-scaffold	na	na	AFGN01000125.1	<>	na	Primary Assembly	27414	na
contig367	unplaced-scaffold	na	na	AFGN01000126.1	<>	na	Primary Assembly	7727	na
contig368	unplaced-scaffold	na	na	AFGN01000127.1	<>	na	Primary Assembly	1121	na
contig370	unplaced-scaffold	na	na	AFGN01000128.1	<>	na	Primary Assembly	5603	na
contig371	unplaced-scaffold	na	na	AFGN01000129.1	<>	na	Primary Assembly	16715	na
contig375	unplaced-scaffold	na	na	AFGN01000130.1	<>	na	Primary Assembly	795	na
contig376	unplaced-scaffold	na	na	AFGN01000131.1	<>	na	Primary Assembly	44661	na
contig377	unplaced-scaffold	na	na	AFGN01000132.1	<>	na	Primary Assembly	612	na
contig379	unplaced-scaffold	na	na	AFGN01000133.1	<>	na	Primary Assembly	3445	na
contig383	unplaced-scaffold	na	na	AFGN01000134.1	<>	na	Primary Assembly	29846	na
contig384	unplaced-scaffold	na	na	AFGN01000135.1	<>	na	Primary Assembly	5247	na
contig385	unplaced-scaffold	na	na	AFGN01000136.1	<>	na	Primary Assembly	2662	na
contig398	unplaced-scaffold	na	na	AFGN01000137.1	<>	na	Primary Assembly	9270	na
contig399	unplaced-scaffold	na	na	AFGN01000138.1	<>	na	Primary Assembly	27466	na
contig400	unplaced-scaffold	na	na	AFGN01000139.1	<>	na	Primary Assembly	444	na
contig401	unplaced-scaffold	na	na	AFGN01000140.1	<>	na	Primary Assembly	3315	na
contig404	unplaced-scaffold	na	na	AFGN01000141.1	<>	na	Primary Assembly	582	na
contig407_2	unplaced-scaffold	na	na	AFGN01000142.1	<>	na	Primary Assembly	2484	na
contig415	unplaced-scaffold	na	na	AFGN01000143.1	<>	na	Primary Assembly	6456	na
contig416	unplaced-scaffold	na	na	AFGN01000144.1	<>	na	Primary Assembly	3534	na
contig417	unplaced-scaffold	na	na	AFGN01000145.1	<>	na	Primary Assembly	2720	na
contig418	unplaced-scaffold	na	na	AFGN01000146.1	<>	na	Primary Assembly	8591	na
contig419	unplaced-scaffold	na	na	AFGN01000147.1	<>	na	Primary Assembly	3319	na
contig420	unplaced-scaffold	na	na	AFGN01000148.1	<>	na	Primary Assembly	654	na
contig421	unplaced-scaffold	na	na	AFGN01000149.1	<>	na	Primary Assembly	2061	na
contig422	unplaced-scaffold	na	na	AFGN01000150.1	<>	na	Primary Assembly	21953	na
contig423	unplaced-scaffold	na	na	AFGN01000151.1	<>	na	Primary Assembly	13588	na
contig424	unplaced-scaffold	na	na	AFGN01000152.1	<>	na	Primary Assembly	2409	na
contig425	unplaced-scaffold	na	na	AFGN01000153.1	<>	na	Primary Assembly	5109	na
contig426	unplaced-scaffold	na	na	AFGN01000154.1	<>	na	Primary Assembly	11373	na
contig427	unplaced-scaffold	na	na	AFGN01000155.1	<>	na	Primary Assembly	12564	na
contig428	unplaced-scaffold	na	na	AFGN01000156.1	<>	na	Primary Assembly	5097	na
contig429	unplaced-scaffold	na	na	AFGN01000157.1	<>	na	Primary Assembly	532	na
contig438	unplaced-scaffold	na	na	AFGN01000158.1	<>	na	Primary Assembly	606	na
contig441	unplaced-scaffold	na	na	AFGN01000159.1	<>	na	Primary Assembly	3345	na
contig442	unplaced-scaffold	na	na	AFGN01000160.1	<>	na	Primary Assembly	4459	na
contig443	unplaced-scaffold	na	na	AFGN01000161.1	<>	na	Primary Assembly	2386	na
contig445	unplaced-scaffold	na	na	AFGN01000162.1	<>	na	Primary Assembly	8702	na
contig446	unplaced-scaffold	na	na	AFGN01000163.1	<>	na	Primary Assembly	3349	na
contig448	unplaced-scaffold	na	na	AFGN01000164.1	<>	na	Primary Assembly	217	na
contig449	unplaced-scaffold	na	na	AFGN01000165.1	<>	na	Primary Assembly	2794	na
contig450	unplaced-scaffold	na	na	AFGN01000166.1	<>	na	Primary Assembly	3647	na
contig451	unplaced-scaffold	na	na	AFGN01000167.1	<>	na	Primary Assembly	4250	na
contig452	unplaced-scaffold	na	na	AFGN01000168.1	<>	na	Primary Assembly	2137	na
contig453	unplaced-scaffold	na	na	AFGN01000169.1	<>	na	Primary Assembly	4543	na
contig454	unplaced-scaffold	na	na	AFGN01000170.1	<>	na	Primary Assembly	21581	na
contig455	unplaced-scaffold	na	na	AFGN01000171.1	<>	na	Primary Assembly	5252	na
contig456	unplaced-scaffold	na	na	AFGN01000172.1	<>	na	Primary Assembly	341	na
contig457	unplaced-scaffold	na	na	AFGN01000173.1	<>	na	Primary Assembly	667	na
contig458	unplaced-scaffold	na	na	AFGN01000174.1	<>	na	Primary Assembly	550	na
contig482_1	unplaced-scaffold	na	na	AFGN01000175.1	<>	na	Primary Assembly	323	na
contig482_2	unplaced-scaffold	na	na	AFGN01000176.1	<>	na	Primary Assembly	682	na
contig487	unplaced-scaffold	na	na	AFGN01000177.1	<>	na	Primary Assembly	2444	na
contig488	unplaced-scaffold	na	na	AFGN01000178.1	<>	na	Primary Assembly	35570	na
contig490	unplaced-scaffold	na	na	AFGN01000179.1	<>	na	Primary Assembly	887	na
contig491	unplaced-scaffold	na	na	AFGN01000180.1	<>	na	Primary Assembly	11943	na
contig497	unplaced-scaffold	na	na	AFGN01000181.1	<>	na	Primary Assembly	1198	na
contig498	unplaced-scaffold	na	na	AFGN01000182.1	<>	na	Primary Assembly	809	na
contig499	unplaced-scaffold	na	na	AFGN01000183.1	<>	na	Primary Assembly	4327	na
contig504_1	unplaced-scaffold	na	na	AFGN01000184.1	<>	na	Primary Assembly	6892	na
contig504_3	unplaced-scaffold	na	na	AFGN01000185.1	<>	na	Primary Assembly	2589	na
contig505	unplaced-scaffold	na	na	AFGN01000186.1	<>	na	Primary Assembly	10540	na
contig506	unplaced-scaffold	na	na	AFGN01000187.1	<>	na	Primary Assembly	3515	na
contig507	unplaced-scaffold	na	na	AFGN01000188.1	<>	na	Primary Assembly	2371	na
contig510	unplaced-scaffold	na	na	AFGN01000189.1	<>	na	Primary Assembly	3064	na
contig511_1	unplaced-scaffold	na	na	AFGN01000190.1	<>	na	Primary Assembly	25075	na
contig511_2	unplaced-scaffold	na	na	AFGN01000191.1	<>	na	Primary Assembly	18670	na
contig512	unplaced-scaffold	na	na	AFGN01000192.1	<>	na	Primary Assembly	705	na
contig513	unplaced-scaffold	na	na	AFGN01000193.1	<>	na	Primary Assembly	4041	na
contig514	unplaced-scaffold	na	na	AFGN01000194.1	<>	na	Primary Assembly	9674	na
contig515	unplaced-scaffold	na	na	AFGN01000195.1	<>	na	Primary Assembly	4339	na
contig563	unplaced-scaffold	na	na	AFGN01000196.1	<>	na	Primary Assembly	5622	na
contig564	unplaced-scaffold	na	na	AFGN01000197.1	<>	na	Primary Assembly	748	na
contig565	unplaced-scaffold	na	na	AFGN01000198.1	<>	na	Primary Assembly	3893	na
contig584	unplaced-scaffold	na	na	AFGN01000199.1	<>	na	Primary Assembly	4519	na
contig585	unplaced-scaffold	na	na	AFGN01000200.1	<>	na	Primary Assembly	3828	na
contig586	unplaced-scaffold	na	na	AFGN01000201.1	<>	na	Primary Assembly	819	na
contig595	unplaced-scaffold	na	na	AFGN01000202.1	<>	na	Primary Assembly	1799	na
contig602	unplaced-scaffold	na	na	AFGN01000203.1	<>	na	Primary Assembly	3136	na
contig609	unplaced-scaffold	na	na	AFGN01000204.1	<>	na	Primary Assembly	3669	na
contig616	unplaced-scaffold	na	na	AFGN01000205.1	<>	na	Primary Assembly	1714	na
contig617	unplaced-scaffold	na	na	AFGN01000206.1	<>	na	Primary Assembly	18415	na
contig619	unplaced-scaffold	na	na	AFGN01000207.1	<>	na	Primary Assembly	1153	na
contig620	unplaced-scaffold	na	na	AFGN01000208.1	<>	na	Primary Assembly	20365	na
contig622	unplaced-scaffold	na	na	AFGN01000209.1	<>	na	Primary Assembly	1810	na
contig623	unplaced-scaffold	na	na	AFGN01000210.1	<>	na	Primary Assembly	11723	na
contig624	unplaced-scaffold	na	na	AFGN01000211.1	<>	na	Primary Assembly	506	na
contig632	unplaced-scaffold	na	na	AFGN01000212.1	<>	na	Primary Assembly	10779	na
contig633	unplaced-scaffold	na	na	AFGN01000213.1	<>	na	Primary Assembly	910	na
contig634	unplaced-scaffold	na	na	AFGN01000214.1	<>	na	Primary Assembly	17084	na
contig635	unplaced-scaffold	na	na	AFGN01000215.1	<>	na	Primary Assembly	203	na
contig638	unplaced-scaffold	na	na	AFGN01000216.1	<>	na	Primary Assembly	4559	na
contig639	unplaced-scaffold	na	na	AFGN01000217.1	<>	na	Primary Assembly	22924	na
contig640	unplaced-scaffold	na	na	AFGN01000218.1	<>	na	Primary Assembly	3118	na
contig641	unplaced-scaffold	na	na	AFGN01000219.1	<>	na	Primary Assembly	8673	na
contig642	unplaced-scaffold	na	na	AFGN01000220.1	<>	na	Primary Assembly	13884	na
contig644	unplaced-scaffold	na	na	AFGN01000221.1	<>	na	Primary Assembly	7464	na
contig645	unplaced-scaffold	na	na	AFGN01000222.1	<>	na	Primary Assembly	4521	na
contig646	unplaced-scaffold	na	na	AFGN01000223.1	<>	na	Primary Assembly	1079	na
contig656	unplaced-scaffold	na	na	AFGN01000224.1	<>	na	Primary Assembly	2126	na
contig657	unplaced-scaffold	na	na	AFGN01000225.1	<>	na	Primary Assembly	83981	na
contig658	unplaced-scaffold	na	na	AFGN01000226.1	<>	na	Primary Assembly	55759	na
contig659	unplaced-scaffold	na	na	AFGN01000227.1	<>	na	Primary Assembly	7158	na
contig667	unplaced-scaffold	na	na	AFGN01000228.1	<>	na	Primary Assembly	5448	na
contig668	unplaced-scaffold	na	na	AFGN01000229.1	<>	na	Primary Assembly	274	na
contig670	unplaced-scaffold	na	na	AFGN01000230.1	<>	na	Primary Assembly	4708	na
contig671	unplaced-scaffold	na	na	AFGN01000231.1	<>	na	Primary Assembly	2954	na
contig672	unplaced-scaffold	na	na	AFGN01000232.1	<>	na	Primary Assembly	24739	na
contig673	unplaced-scaffold	na	na	AFGN01000233.1	<>	na	Primary Assembly	2642	na
contig674_1	unplaced-scaffold	na	na	AFGN01000234.1	<>	na	Primary Assembly	16815	na
contig674_2	unplaced-scaffold	na	na	AFGN01000235.1	<>	na	Primary Assembly	85436	na
contig674_3	unplaced-scaffold	na	na	AFGN01000236.1	<>	na	Primary Assembly	8779	na
contig675	unplaced-scaffold	na	na	AFGN01000237.1	<>	na	Primary Assembly	5279	na
contig685	unplaced-scaffold	na	na	AFGN01000238.1	<>	na	Primary Assembly	853	na
contig686	unplaced-scaffold	na	na	AFGN01000239.1	<>	na	Primary Assembly	3714	na
contig687	unplaced-scaffold	na	na	AFGN01000240.1	<>	na	Primary Assembly	4396	na
contig688_1	unplaced-scaffold	na	na	AFGN01000241.1	<>	na	Primary Assembly	6714	na
contig688_2	unplaced-scaffold	na	na	AFGN01000242.1	<>	na	Primary Assembly	9375	na
contig689	unplaced-scaffold	na	na	AFGN01000243.1	<>	na	Primary Assembly	6160	na
contig690	unplaced-scaffold	na	na	AFGN01000244.1	<>	na	Primary Assembly	3022	na
contig695	unplaced-scaffold	na	na	AFGN01000245.1	<>	na	Primary Assembly	3750	na
contig702	unplaced-scaffold	na	na	AFGN01000246.1	<>	na	Primary Assembly	3235	na
contig707	unplaced-scaffold	na	na	AFGN01000247.1	<>	na	Primary Assembly	3611	na
contig719	unplaced-scaffold	na	na	AFGN01000248.1	<>	na	Primary Assembly	9740	na
contig720	unplaced-scaffold	na	na	AFGN01000249.1	<>	na	Primary Assembly	4339	na
contig752	unplaced-scaffold	na	na	AFGN01000250.1	<>	na	Primary Assembly	4636	na
contig753	unplaced-scaffold	na	na	AFGN01000251.1	<>	na	Primary Assembly	12342	na
contig754	unplaced-scaffold	na	na	AFGN01000252.1	<>	na	Primary Assembly	30641	na
contig755	unplaced-scaffold	na	na	AFGN01000253.1	<>	na	Primary Assembly	2303	na
contig765	unplaced-scaffold	na	na	AFGN01000254.1	<>	na	Primary Assembly	913	na
contig766	unplaced-scaffold	na	na	AFGN01000255.1	<>	na	Primary Assembly	4840	na
contig774_1	unplaced-scaffold	na	na	AFGN01000256.1	<>	na	Primary Assembly	14045	na
contig774_2	unplaced-scaffold	na	na	AFGN01000257.1	<>	na	Primary Assembly	12214	na
contig775	unplaced-scaffold	na	na	AFGN01000258.1	<>	na	Primary Assembly	1530	na
contig777	unplaced-scaffold	na	na	AFGN01000259.1	<>	na	Primary Assembly	12200	na
contig785	unplaced-scaffold	na	na	AFGN01000260.1	<>	na	Primary Assembly	3620	na
contig786	unplaced-scaffold	na	na	AFGN01000261.1	<>	na	Primary Assembly	5606	na
contig787	unplaced-scaffold	na	na	AFGN01000262.1	<>	na	Primary Assembly	3391	na
contig788	unplaced-scaffold	na	na	AFGN01000263.1	<>	na	Primary Assembly	4571	na
contig792	unplaced-scaffold	na	na	AFGN01000264.1	<>	na	Primary Assembly	3818	na
contig793	unplaced-scaffold	na	na	AFGN01000265.1	<>	na	Primary Assembly	10039	na
contig794	unplaced-scaffold	na	na	AFGN01000266.1	<>	na	Primary Assembly	6886	na
contig795	unplaced-scaffold	na	na	AFGN01000267.1	<>	na	Primary Assembly	659	na
contig796	unplaced-scaffold	na	na	AFGN01000268.1	<>	na	Primary Assembly	1847	na
contig797	unplaced-scaffold	na	na	AFGN01000269.1	<>	na	Primary Assembly	2263	na
contig798_1	unplaced-scaffold	na	na	AFGN01000270.1	<>	na	Primary Assembly	69769	na
contig798_2	unplaced-scaffold	na	na	AFGN01000271.1	<>	na	Primary Assembly	441	na
contig798_5	unplaced-scaffold	na	na	AFGN01000272.1	<>	na	Primary Assembly	3680	na
contig798_6	unplaced-scaffold	na	na	AFGN01000273.1	<>	na	Primary Assembly	632	na
contig798_7	unplaced-scaffold	na	na	AFGN01000274.1	<>	na	Primary Assembly	21802	na
contig798_8	unplaced-scaffold	na	na	AFGN01000275.1	<>	na	Primary Assembly	13074	na
contig798_9	unplaced-scaffold	na	na	AFGN01000276.1	<>	na	Primary Assembly	40501	na
contig799	unplaced-scaffold	na	na	AFGN01000277.1	<>	na	Primary Assembly	8476	na
contig800	unplaced-scaffold	na	na	AFGN01000278.1	<>	na	Primary Assembly	2205	na
contig815	unplaced-scaffold	na	na	AFGN01000279.1	<>	na	Primary Assembly	832	na
contig816	unplaced-scaffold	na	na	AFGN01000280.1	<>	na	Primary Assembly	32641	na
