# Assembly name:  ASM24072v1
# Organism name:  Nannochloropsis gaditana CCMP526 (eukaryotes)
# Infraspecific name:  strain=CCMP526
# Taxid:          1093141
# BioSample:      SAMN02981382
# BioProject:     PRJNA73791
# Submitter:      Colorado School of Mines
# Date:           2012-01-04
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    AGNI01
# Assembly method: Newbler v. 2.3; Velvet v. 1.0.19
# Genome coverage: 230x
# Sequencing technology: 454 GS FLX Titanium; Illumina GA IIx
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000240725.1
# RefSeq assembly accession: GCF_000240725.1
# RefSeq assembly and GenBank assemblies identical: yes
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000240735.1	GCF_000240735.1	Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold057	unplaced-scaffold	na	na	JH470618.1	=	NW_005803896.1	Primary Assembly	81026	na
scaffold058	unplaced-scaffold	na	na	JH470619.1	=	NW_005803895.1	Primary Assembly	80986	na
scaffold059	unplaced-scaffold	na	na	JH470620.1	=	NW_005803894.1	Primary Assembly	80325	na
scaffold060	unplaced-scaffold	na	na	JH470621.1	=	NW_005803893.1	Primary Assembly	80105	na
scaffold061	unplaced-scaffold	na	na	JH470622.1	=	NW_005803892.1	Primary Assembly	79957	na
scaffold062	unplaced-scaffold	na	na	JH470623.1	=	NW_005803891.1	Primary Assembly	79904	na
scaffold063	unplaced-scaffold	na	na	JH470624.1	=	NW_005803890.1	Primary Assembly	79308	na
scaffold064	unplaced-scaffold	na	na	JH470625.1	=	NW_005803889.1	Primary Assembly	79079	na
scaffold065	unplaced-scaffold	na	na	JH470626.1	=	NW_005803888.1	Primary Assembly	78790	na
scaffold066	unplaced-scaffold	na	na	JH470627.1	=	NW_005803887.1	Primary Assembly	77455	na
scaffold067	unplaced-scaffold	na	na	JH470628.1	=	NW_005803886.1	Primary Assembly	77005	na
scaffold068	unplaced-scaffold	na	na	JH470629.1	=	NW_005803885.1	Primary Assembly	76750	na
scaffold069	unplaced-scaffold	na	na	JH470630.1	=	NW_005803884.1	Primary Assembly	75820	na
scaffold070	unplaced-scaffold	na	na	JH470631.1	=	NW_005803883.1	Primary Assembly	74831	na
scaffold071	unplaced-scaffold	na	na	JH470632.1	=	NW_005803882.1	Primary Assembly	74113	na
scaffold072	unplaced-scaffold	na	na	JH470633.1	=	NW_005803881.1	Primary Assembly	74079	na
scaffold073	unplaced-scaffold	na	na	JH470634.1	=	NW_005803880.1	Primary Assembly	73960	na
scaffold074	unplaced-scaffold	na	na	JH470635.1	=	NW_005803879.1	Primary Assembly	73655	na
scaffold075	unplaced-scaffold	na	na	JH470636.1	=	NW_005803878.1	Primary Assembly	73432	na
scaffold076	unplaced-scaffold	na	na	JH470637.1	=	NW_005803877.1	Primary Assembly	73391	na
scaffold077	unplaced-scaffold	na	na	JH470638.1	=	NW_005803876.1	Primary Assembly	73279	na
scaffold078	unplaced-scaffold	na	na	JH470639.1	=	NW_005803875.1	Primary Assembly	72539	na
scaffold079	unplaced-scaffold	na	na	JH470640.1	=	NW_005803874.1	Primary Assembly	72300	na
scaffold080	unplaced-scaffold	na	na	JH470641.1	=	NW_005803873.1	Primary Assembly	72290	na
scaffold081	unplaced-scaffold	na	na	JH470642.1	=	NW_005803872.1	Primary Assembly	72064	na
scaffold082	unplaced-scaffold	na	na	JH470643.1	=	NW_005803871.1	Primary Assembly	70739	na
scaffold083	unplaced-scaffold	na	na	JH470644.1	=	NW_005803870.1	Primary Assembly	70648	na
scaffold084	unplaced-scaffold	na	na	JH470645.1	=	NW_005803869.1	Primary Assembly	70415	na
scaffold085	unplaced-scaffold	na	na	JH470646.1	=	NW_005803868.1	Primary Assembly	69792	na
scaffold086	unplaced-scaffold	na	na	JH470647.1	=	NW_005803867.1	Primary Assembly	69173	na
scaffold087	unplaced-scaffold	na	na	JH470648.1	=	NW_005803866.1	Primary Assembly	68950	na
scaffold088	unplaced-scaffold	na	na	JH470649.1	=	NW_005803865.1	Primary Assembly	68325	na
scaffold089	unplaced-scaffold	na	na	JH470650.1	=	NW_005803864.1	Primary Assembly	68263	na
scaffold090	unplaced-scaffold	na	na	JH470651.1	=	NW_005803863.1	Primary Assembly	67800	na
scaffold091	unplaced-scaffold	na	na	JH470652.1	=	NW_005803862.1	Primary Assembly	67178	na
scaffold092	unplaced-scaffold	na	na	JH470653.1	=	NW_005803861.1	Primary Assembly	66972	na
scaffold093	unplaced-scaffold	na	na	JH470654.1	=	NW_005803860.1	Primary Assembly	66637	na
scaffold094	unplaced-scaffold	na	na	JH470655.1	=	NW_005803859.1	Primary Assembly	66491	na
scaffold095	unplaced-scaffold	na	na	JH470656.1	=	NW_005803858.1	Primary Assembly	65738	na
scaffold096	unplaced-scaffold	na	na	JH470657.1	=	NW_005803857.1	Primary Assembly	65034	na
scaffold097	unplaced-scaffold	na	na	JH470658.1	=	NW_005803856.1	Primary Assembly	64918	na
scaffold098	unplaced-scaffold	na	na	JH470659.1	=	NW_005803855.1	Primary Assembly	64781	na
scaffold099	unplaced-scaffold	na	na	JH470660.1	=	NW_005803854.1	Primary Assembly	63625	na
scaffold100	unplaced-scaffold	na	na	JH470661.1	=	NW_005803853.1	Primary Assembly	63398	na
scaffold101	unplaced-scaffold	na	na	JH470662.1	=	NW_005803852.1	Primary Assembly	62818	na
scaffold102	unplaced-scaffold	na	na	JH470663.1	=	NW_005803851.1	Primary Assembly	62633	na
scaffold103	unplaced-scaffold	na	na	JH470664.1	=	NW_005803850.1	Primary Assembly	62036	na
scaffold104	unplaced-scaffold	na	na	JH470665.1	=	NW_005803849.1	Primary Assembly	61629	na
scaffold105	unplaced-scaffold	na	na	JH470666.1	=	NW_005803848.1	Primary Assembly	61612	na
scaffold106	unplaced-scaffold	na	na	JH470667.1	=	NW_005803847.1	Primary Assembly	61322	na
scaffold107	unplaced-scaffold	na	na	JH470668.1	=	NW_005803846.1	Primary Assembly	61311	na
scaffold108	unplaced-scaffold	na	na	JH470669.1	=	NW_005803845.1	Primary Assembly	61007	na
scaffold109	unplaced-scaffold	na	na	JH470670.1	=	NW_005803844.1	Primary Assembly	60803	na
scaffold110	unplaced-scaffold	na	na	JH470671.1	=	NW_005803843.1	Primary Assembly	60749	na
scaffold111	unplaced-scaffold	na	na	JH470672.1	=	NW_005803842.1	Primary Assembly	60414	na
scaffold112	unplaced-scaffold	na	na	JH470673.1	=	NW_005803841.1	Primary Assembly	60360	na
scaffold113	unplaced-scaffold	na	na	JH470674.1	=	NW_005803840.1	Primary Assembly	58626	na
scaffold114	unplaced-scaffold	na	na	JH470675.1	=	NW_005803839.1	Primary Assembly	58314	na
scaffold115	unplaced-scaffold	na	na	JH470676.1	=	NW_005803838.1	Primary Assembly	58307	na
scaffold116	unplaced-scaffold	na	na	JH470677.1	=	NW_005803837.1	Primary Assembly	20534	na
scaffold117	unplaced-scaffold	na	na	JH470678.1	=	NW_005803836.1	Primary Assembly	57685	na
scaffold118	unplaced-scaffold	na	na	JH470679.1	=	NW_005803835.1	Primary Assembly	57499	na
scaffold119	unplaced-scaffold	na	na	JH470680.1	=	NW_005803834.1	Primary Assembly	57472	na
scaffold120	unplaced-scaffold	na	na	JH470681.1	=	NW_005803833.1	Primary Assembly	57320	na
scaffold121	unplaced-scaffold	na	na	JH470682.1	=	NW_005803832.1	Primary Assembly	57065	na
scaffold122	unplaced-scaffold	na	na	JH470683.1	=	NW_005803831.1	Primary Assembly	40505	na
scaffold123	unplaced-scaffold	na	na	JH470684.1	=	NW_005803830.1	Primary Assembly	56729	na
scaffold124	unplaced-scaffold	na	na	JH470685.1	=	NW_005803829.1	Primary Assembly	56565	na
scaffold125	unplaced-scaffold	na	na	JH470686.1	=	NW_005803828.1	Primary Assembly	56542	na
scaffold126	unplaced-scaffold	na	na	JH470687.1	=	NW_005803827.1	Primary Assembly	56302	na
scaffold127	unplaced-scaffold	na	na	JH470688.1	=	NW_005803826.1	Primary Assembly	56152	na
scaffold128	unplaced-scaffold	na	na	JH470689.1	=	NW_005803825.1	Primary Assembly	56145	na
scaffold129	unplaced-scaffold	na	na	JH470690.1	=	NW_005803824.1	Primary Assembly	55784	na
scaffold130	unplaced-scaffold	na	na	JH470691.1	=	NW_005803823.1	Primary Assembly	55745	na
scaffold131	unplaced-scaffold	na	na	JH470692.1	=	NW_005803822.1	Primary Assembly	55704	na
scaffold132	unplaced-scaffold	na	na	JH470693.1	=	NW_005803821.1	Primary Assembly	55256	na
scaffold133	unplaced-scaffold	na	na	JH470694.1	=	NW_005803820.1	Primary Assembly	55203	na
scaffold134	unplaced-scaffold	na	na	JH470695.1	=	NW_005803819.1	Primary Assembly	54582	na
scaffold135	unplaced-scaffold	na	na	JH470696.1	=	NW_005803818.1	Primary Assembly	54473	na
scaffold136	unplaced-scaffold	na	na	JH470697.1	=	NW_005803817.1	Primary Assembly	54162	na
scaffold137	unplaced-scaffold	na	na	JH470698.1	=	NW_005803816.1	Primary Assembly	54052	na
scaffold138	unplaced-scaffold	na	na	JH470699.1	=	NW_005803815.1	Primary Assembly	54028	na
scaffold139	unplaced-scaffold	na	na	JH470700.1	=	NW_005803814.1	Primary Assembly	53651	na
scaffold140	unplaced-scaffold	na	na	JH470701.1	=	NW_005803813.1	Primary Assembly	53555	na
scaffold141	unplaced-scaffold	na	na	JH470702.1	=	NW_005803812.1	Primary Assembly	53470	na
scaffold142	unplaced-scaffold	na	na	JH470703.1	=	NW_005803811.1	Primary Assembly	53460	na
scaffold143	unplaced-scaffold	na	na	JH470704.1	=	NW_005803810.1	Primary Assembly	53450	na
scaffold144	unplaced-scaffold	na	na	JH470705.1	=	NW_005803809.1	Primary Assembly	53327	na
scaffold145	unplaced-scaffold	na	na	JH470706.1	=	NW_005803808.1	Primary Assembly	52947	na
scaffold146	unplaced-scaffold	na	na	JH470707.1	=	NW_005803807.1	Primary Assembly	52444	na
scaffold147	unplaced-scaffold	na	na	JH470708.1	=	NW_005803806.1	Primary Assembly	52288	na
scaffold148	unplaced-scaffold	na	na	JH470709.1	=	NW_005803805.1	Primary Assembly	51792	na
scaffold149	unplaced-scaffold	na	na	JH470710.1	=	NW_005803804.1	Primary Assembly	51685	na
scaffold150	unplaced-scaffold	na	na	JH470711.1	=	NW_005803803.1	Primary Assembly	51655	na
scaffold151	unplaced-scaffold	na	na	JH470712.1	=	NW_005803802.1	Primary Assembly	51628	na
scaffold152	unplaced-scaffold	na	na	JH470713.1	=	NW_005803801.1	Primary Assembly	51054	na
scaffold153	unplaced-scaffold	na	na	JH470714.1	=	NW_005803800.1	Primary Assembly	50913	na
scaffold154	unplaced-scaffold	na	na	JH470715.1	=	NW_005803799.1	Primary Assembly	50865	na
scaffold155	unplaced-scaffold	na	na	JH470716.1	=	NW_005803798.1	Primary Assembly	50487	na
scaffold156	unplaced-scaffold	na	na	JH470717.1	=	NW_005803797.1	Primary Assembly	50230	na
scaffold157	unplaced-scaffold	na	na	JH470718.1	=	NW_005803796.1	Primary Assembly	50141	na
scaffold158	unplaced-scaffold	na	na	JH470719.1	=	NW_005803795.1	Primary Assembly	50055	na
scaffold159	unplaced-scaffold	na	na	JH470720.1	=	NW_005803794.1	Primary Assembly	49917	na
scaffold160	unplaced-scaffold	na	na	JH470721.1	=	NW_005803793.1	Primary Assembly	49898	na
scaffold161	unplaced-scaffold	na	na	JH470722.1	=	NW_005803792.1	Primary Assembly	49794	na
scaffold162	unplaced-scaffold	na	na	JH470723.1	=	NW_005803791.1	Primary Assembly	49492	na
scaffold163	unplaced-scaffold	na	na	JH470724.1	=	NW_005803790.1	Primary Assembly	49448	na
scaffold164	unplaced-scaffold	na	na	JH470725.1	=	NW_005803789.1	Primary Assembly	49419	na
scaffold165	unplaced-scaffold	na	na	JH470726.1	=	NW_005803788.1	Primary Assembly	49213	na
scaffold166	unplaced-scaffold	na	na	JH470727.1	=	NW_005803787.1	Primary Assembly	49016	na
scaffold167	unplaced-scaffold	na	na	JH470728.1	=	NW_005803786.1	Primary Assembly	48922	na
scaffold168	unplaced-scaffold	na	na	JH470729.1	=	NW_005803785.1	Primary Assembly	48527	na
scaffold169	unplaced-scaffold	na	na	JH470730.1	=	NW_005803784.1	Primary Assembly	48482	na
scaffold170	unplaced-scaffold	na	na	JH470731.1	=	NW_005803783.1	Primary Assembly	48449	na
scaffold171	unplaced-scaffold	na	na	JH470732.1	=	NW_005803782.1	Primary Assembly	48369	na
scaffold172	unplaced-scaffold	na	na	JH470733.1	=	NW_005803781.1	Primary Assembly	48092	na
scaffold173	unplaced-scaffold	na	na	JH470734.1	=	NW_005803780.1	Primary Assembly	48021	na
scaffold174	unplaced-scaffold	na	na	JH470735.1	=	NW_005803779.1	Primary Assembly	47814	na
scaffold175	unplaced-scaffold	na	na	JH470736.1	=	NW_005803778.1	Primary Assembly	47601	na
scaffold176	unplaced-scaffold	na	na	JH470737.1	=	NW_005803777.1	Primary Assembly	47483	na
scaffold177	unplaced-scaffold	na	na	JH470738.1	=	NW_005803776.1	Primary Assembly	47429	na
scaffold178	unplaced-scaffold	na	na	JH470739.1	=	NW_005803775.1	Primary Assembly	47233	na
scaffold179	unplaced-scaffold	na	na	JH470740.1	=	NW_005803774.1	Primary Assembly	46135	na
scaffold180	unplaced-scaffold	na	na	JH470741.1	=	NW_005803773.1	Primary Assembly	45932	na
scaffold181	unplaced-scaffold	na	na	JH470742.1	=	NW_005803772.1	Primary Assembly	45891	na
scaffold182	unplaced-scaffold	na	na	JH470743.1	=	NW_005803771.1	Primary Assembly	45617	na
scaffold183	unplaced-scaffold	na	na	JH470744.1	=	NW_005803770.1	Primary Assembly	45549	na
scaffold184	unplaced-scaffold	na	na	JH470745.1	=	NW_005803769.1	Primary Assembly	45455	na
scaffold185	unplaced-scaffold	na	na	JH470746.1	=	NW_005803768.1	Primary Assembly	45312	na
scaffold186	unplaced-scaffold	na	na	JH470747.1	=	NW_005803767.1	Primary Assembly	45306	na
scaffold187	unplaced-scaffold	na	na	JH470748.1	=	NW_005803766.1	Primary Assembly	45168	na
scaffold188	unplaced-scaffold	na	na	JH470749.1	=	NW_005803765.1	Primary Assembly	45043	na
scaffold189	unplaced-scaffold	na	na	JH470750.1	=	NW_005803764.1	Primary Assembly	44895	na
scaffold190	unplaced-scaffold	na	na	JH470751.1	=	NW_005803763.1	Primary Assembly	44851	na
scaffold191	unplaced-scaffold	na	na	JH470752.1	=	NW_005803762.1	Primary Assembly	44782	na
scaffold192	unplaced-scaffold	na	na	JH470753.1	=	NW_005803761.1	Primary Assembly	44726	na
scaffold193	unplaced-scaffold	na	na	JH470754.1	=	NW_005803760.1	Primary Assembly	44692	na
scaffold194	unplaced-scaffold	na	na	JH470755.1	=	NW_005803759.1	Primary Assembly	44664	na
scaffold195	unplaced-scaffold	na	na	JH470756.1	=	NW_005803758.1	Primary Assembly	44607	na
scaffold196	unplaced-scaffold	na	na	JH470757.1	=	NW_005803757.1	Primary Assembly	44353	na
scaffold197	unplaced-scaffold	na	na	JH470758.1	=	NW_005803756.1	Primary Assembly	44305	na
scaffold198	unplaced-scaffold	na	na	JH470759.1	=	NW_005803755.1	Primary Assembly	44029	na
scaffold199	unplaced-scaffold	na	na	JH470760.1	=	NW_005803754.1	Primary Assembly	43992	na
scaffold200	unplaced-scaffold	na	na	JH470761.1	=	NW_005803753.1	Primary Assembly	43974	na
scaffold201	unplaced-scaffold	na	na	JH470762.1	=	NW_005803752.1	Primary Assembly	43842	na
scaffold202	unplaced-scaffold	na	na	JH470763.1	=	NW_005803751.1	Primary Assembly	43831	na
scaffold203	unplaced-scaffold	na	na	JH470764.1	=	NW_005803750.1	Primary Assembly	43807	na
scaffold204	unplaced-scaffold	na	na	JH470765.1	=	NW_005803749.1	Primary Assembly	43683	na
scaffold205	unplaced-scaffold	na	na	JH470766.1	=	NW_005803748.1	Primary Assembly	43523	na
scaffold206	unplaced-scaffold	na	na	JH470767.1	=	NW_005803747.1	Primary Assembly	43454	na
scaffold207	unplaced-scaffold	na	na	JH470768.1	=	NW_005803746.1	Primary Assembly	43314	na
scaffold208	unplaced-scaffold	na	na	JH470769.1	=	NW_005803745.1	Primary Assembly	43269	na
scaffold209	unplaced-scaffold	na	na	JH470770.1	=	NW_005803744.1	Primary Assembly	43201	na
scaffold210	unplaced-scaffold	na	na	JH470771.1	=	NW_005803743.1	Primary Assembly	43141	na
scaffold211	unplaced-scaffold	na	na	JH470772.1	=	NW_005803742.1	Primary Assembly	42826	na
scaffold212	unplaced-scaffold	na	na	JH470773.1	=	NW_005803741.1	Primary Assembly	42776	na
scaffold213	unplaced-scaffold	na	na	JH470774.1	=	NW_005803740.1	Primary Assembly	42759	na
scaffold214	unplaced-scaffold	na	na	JH470775.1	=	NW_005803739.1	Primary Assembly	42491	na
scaffold215	unplaced-scaffold	na	na	JH470776.1	=	NW_005803738.1	Primary Assembly	42370	na
scaffold216	unplaced-scaffold	na	na	JH470777.1	=	NW_005803737.1	Primary Assembly	42322	na
scaffold217	unplaced-scaffold	na	na	JH470778.1	=	NW_005803736.1	Primary Assembly	42298	na
scaffold218	unplaced-scaffold	na	na	JH470779.1	=	NW_005803735.1	Primary Assembly	42296	na
scaffold219	unplaced-scaffold	na	na	JH470780.1	=	NW_005803734.1	Primary Assembly	42131	na
scaffold220	unplaced-scaffold	na	na	JH470781.1	=	NW_005803733.1	Primary Assembly	42118	na
scaffold221	unplaced-scaffold	na	na	JH470782.1	=	NW_005803732.1	Primary Assembly	41893	na
scaffold222	unplaced-scaffold	na	na	JH470783.1	=	NW_005803731.1	Primary Assembly	41834	na
scaffold223	unplaced-scaffold	na	na	JH470784.1	=	NW_005803730.1	Primary Assembly	41643	na
scaffold224	unplaced-scaffold	na	na	JH470785.1	=	NW_005803729.1	Primary Assembly	41567	na
scaffold225	unplaced-scaffold	na	na	JH470786.1	=	NW_005803728.1	Primary Assembly	41541	na
scaffold226	unplaced-scaffold	na	na	JH470787.1	=	NW_005803727.1	Primary Assembly	41461	na
scaffold227	unplaced-scaffold	na	na	JH470788.1	=	NW_005803726.1	Primary Assembly	41457	na
scaffold228	unplaced-scaffold	na	na	JH470789.1	=	NW_005803725.1	Primary Assembly	41250	na
scaffold229	unplaced-scaffold	na	na	JH470790.1	=	NW_005803724.1	Primary Assembly	41190	na
scaffold230	unplaced-scaffold	na	na	JH470791.1	=	NW_005803723.1	Primary Assembly	40914	na
scaffold231	unplaced-scaffold	na	na	JH470792.1	=	NW_005803722.1	Primary Assembly	40790	na
scaffold232	unplaced-scaffold	na	na	JH470793.1	=	NW_005803721.1	Primary Assembly	40644	na
scaffold233	unplaced-scaffold	na	na	JH470794.1	=	NW_005803720.1	Primary Assembly	40435	na
scaffold234	unplaced-scaffold	na	na	JH470795.1	=	NW_005803719.1	Primary Assembly	40225	na
scaffold235	unplaced-scaffold	na	na	JH470796.1	=	NW_005803718.1	Primary Assembly	40175	na
scaffold236	unplaced-scaffold	na	na	JH470797.1	=	NW_005803717.1	Primary Assembly	40100	na
scaffold237	unplaced-scaffold	na	na	JH470798.1	=	NW_005803716.1	Primary Assembly	40034	na
scaffold238	unplaced-scaffold	na	na	JH470799.1	=	NW_005803715.1	Primary Assembly	39993	na
scaffold239	unplaced-scaffold	na	na	JH470800.1	=	NW_005803714.1	Primary Assembly	39839	na
scaffold240	unplaced-scaffold	na	na	JH470801.1	=	NW_005803713.1	Primary Assembly	39622	na
scaffold241	unplaced-scaffold	na	na	JH470802.1	=	NW_005803712.1	Primary Assembly	39549	na
scaffold242	unplaced-scaffold	na	na	JH470803.1	=	NW_005803711.1	Primary Assembly	39528	na
scaffold243	unplaced-scaffold	na	na	JH470804.1	=	NW_005803710.1	Primary Assembly	39393	na
scaffold244	unplaced-scaffold	na	na	JH470805.1	=	NW_005803709.1	Primary Assembly	39330	na
scaffold245	unplaced-scaffold	na	na	JH470806.1	=	NW_005803708.1	Primary Assembly	39300	na
scaffold246	unplaced-scaffold	na	na	JH470807.1	=	NW_005803707.1	Primary Assembly	39209	na
scaffold247	unplaced-scaffold	na	na	JH470808.1	=	NW_005803706.1	Primary Assembly	39061	na
scaffold248	unplaced-scaffold	na	na	JH470809.1	=	NW_005803705.1	Primary Assembly	39045	na
scaffold249	unplaced-scaffold	na	na	JH470810.1	=	NW_005803704.1	Primary Assembly	38994	na
scaffold250	unplaced-scaffold	na	na	JH470811.1	=	NW_005803703.1	Primary Assembly	38527	na
