# Assembly name:  Dunsal1 v. 2
# Organism name:  Dunaliella salina (green algae)
# Infraspecific name:  strain=CCAP 19/18
# Taxid:          3046
# BioSample:      SAMN02746051
# BioProject:     PRJNA32771
# Submitter:      JGI
# Date:           2020-07-10
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: full
# WGS project:    NSFN02
# Assembly method: AllPaths-LG v. r52488
# Expected final version: no
# Genome coverage: 89.6x
# Sequencing technology: Illumina; Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_002284615.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_002284625.2		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
DUNSAscaffold_86	unplaced-scaffold	na	na	MU069521.1	<>	na	Primary Assembly	608315	na
DUNSAscaffold_87	unplaced-scaffold	na	na	MU069522.1	<>	na	Primary Assembly	606446	na
DUNSAscaffold_88	unplaced-scaffold	na	na	MU069523.1	<>	na	Primary Assembly	605053	na
DUNSAscaffold_89	unplaced-scaffold	na	na	MU069524.1	<>	na	Primary Assembly	604344	na
DUNSAscaffold_90	unplaced-scaffold	na	na	MU069525.1	<>	na	Primary Assembly	597513	na
DUNSAscaffold_91	unplaced-scaffold	na	na	MU069526.1	<>	na	Primary Assembly	595691	na
DUNSAscaffold_92	unplaced-scaffold	na	na	MU069527.1	<>	na	Primary Assembly	594295	na
DUNSAscaffold_93	unplaced-scaffold	na	na	MU069528.1	<>	na	Primary Assembly	594211	na
DUNSAscaffold_94	unplaced-scaffold	na	na	MU069529.1	<>	na	Primary Assembly	593097	na
DUNSAscaffold_95	unplaced-scaffold	na	na	MU069530.1	<>	na	Primary Assembly	592424	na
DUNSAscaffold_96	unplaced-scaffold	na	na	MU069531.1	<>	na	Primary Assembly	591010	na
DUNSAscaffold_97	unplaced-scaffold	na	na	MU069532.1	<>	na	Primary Assembly	588581	na
DUNSAscaffold_98	unplaced-scaffold	na	na	MU069533.1	<>	na	Primary Assembly	587360	na
DUNSAscaffold_99	unplaced-scaffold	na	na	MU069534.1	<>	na	Primary Assembly	584796	na
DUNSAscaffold_100	unplaced-scaffold	na	na	MU069535.1	<>	na	Primary Assembly	584141	na
DUNSAscaffold_101	unplaced-scaffold	na	na	MU069536.1	<>	na	Primary Assembly	580467	na
DUNSAscaffold_102	unplaced-scaffold	na	na	MU069537.1	<>	na	Primary Assembly	574996	na
DUNSAscaffold_103	unplaced-scaffold	na	na	MU069538.1	<>	na	Primary Assembly	572833	na
DUNSAscaffold_104	unplaced-scaffold	na	na	MU069539.1	<>	na	Primary Assembly	569708	na
DUNSAscaffold_105	unplaced-scaffold	na	na	MU069540.1	<>	na	Primary Assembly	568077	na
DUNSAscaffold_106	unplaced-scaffold	na	na	MU069541.1	<>	na	Primary Assembly	567613	na
DUNSAscaffold_107	unplaced-scaffold	na	na	MU069542.1	<>	na	Primary Assembly	567532	na
DUNSAscaffold_108	unplaced-scaffold	na	na	MU069543.1	<>	na	Primary Assembly	563883	na
DUNSAscaffold_109	unplaced-scaffold	na	na	MU069544.1	<>	na	Primary Assembly	559466	na
DUNSAscaffold_110	unplaced-scaffold	na	na	MU069545.1	<>	na	Primary Assembly	558799	na
DUNSAscaffold_111	unplaced-scaffold	na	na	MU069546.1	<>	na	Primary Assembly	557408	na
DUNSAscaffold_112	unplaced-scaffold	na	na	MU069547.1	<>	na	Primary Assembly	553607	na
DUNSAscaffold_113	unplaced-scaffold	na	na	MU069548.1	<>	na	Primary Assembly	551905	na
DUNSAscaffold_114	unplaced-scaffold	na	na	MU069549.1	<>	na	Primary Assembly	551551	na
DUNSAscaffold_115	unplaced-scaffold	na	na	MU069550.1	<>	na	Primary Assembly	550402	na
DUNSAscaffold_116	unplaced-scaffold	na	na	MU069551.1	<>	na	Primary Assembly	548848	na
DUNSAscaffold_117	unplaced-scaffold	na	na	MU069552.1	<>	na	Primary Assembly	545588	na
DUNSAscaffold_118	unplaced-scaffold	na	na	MU069553.1	<>	na	Primary Assembly	545466	na
DUNSAscaffold_119	unplaced-scaffold	na	na	MU069554.1	<>	na	Primary Assembly	544518	na
DUNSAscaffold_120	unplaced-scaffold	na	na	MU069555.1	<>	na	Primary Assembly	543716	na
DUNSAscaffold_121	unplaced-scaffold	na	na	MU069556.1	<>	na	Primary Assembly	543497	na
DUNSAscaffold_122	unplaced-scaffold	na	na	MU069557.1	<>	na	Primary Assembly	542753	na
DUNSAscaffold_123	unplaced-scaffold	na	na	MU069558.1	<>	na	Primary Assembly	542683	na
DUNSAscaffold_124	unplaced-scaffold	na	na	MU069559.1	<>	na	Primary Assembly	536816	na
DUNSAscaffold_125	unplaced-scaffold	na	na	MU069560.1	<>	na	Primary Assembly	534712	na
DUNSAscaffold_126	unplaced-scaffold	na	na	MU069561.1	<>	na	Primary Assembly	533566	na
DUNSAscaffold_127	unplaced-scaffold	na	na	MU069562.1	<>	na	Primary Assembly	533516	na
DUNSAscaffold_128	unplaced-scaffold	na	na	MU069563.1	<>	na	Primary Assembly	530780	na
DUNSAscaffold_129	unplaced-scaffold	na	na	MU069564.1	<>	na	Primary Assembly	530573	na
DUNSAscaffold_130	unplaced-scaffold	na	na	MU069565.1	<>	na	Primary Assembly	527854	na
DUNSAscaffold_131	unplaced-scaffold	na	na	MU069566.1	<>	na	Primary Assembly	525862	na
DUNSAscaffold_132	unplaced-scaffold	na	na	MU069567.1	<>	na	Primary Assembly	525429	na
DUNSAscaffold_133	unplaced-scaffold	na	na	MU069568.1	<>	na	Primary Assembly	524807	na
DUNSAscaffold_134	unplaced-scaffold	na	na	MU069569.1	<>	na	Primary Assembly	524602	na
DUNSAscaffold_135	unplaced-scaffold	na	na	MU069570.1	<>	na	Primary Assembly	523054	na
DUNSAscaffold_136	unplaced-scaffold	na	na	MU069571.1	<>	na	Primary Assembly	519974	na
DUNSAscaffold_137	unplaced-scaffold	na	na	MU069572.1	<>	na	Primary Assembly	517740	na
DUNSAscaffold_138	unplaced-scaffold	na	na	MU069573.1	<>	na	Primary Assembly	517180	na
DUNSAscaffold_139	unplaced-scaffold	na	na	MU069574.1	<>	na	Primary Assembly	516400	na
DUNSAscaffold_140	unplaced-scaffold	na	na	MU069575.1	<>	na	Primary Assembly	515289	na
DUNSAscaffold_141	unplaced-scaffold	na	na	MU069576.1	<>	na	Primary Assembly	514078	na
DUNSAscaffold_142	unplaced-scaffold	na	na	MU069577.1	<>	na	Primary Assembly	509933	na
DUNSAscaffold_143	unplaced-scaffold	na	na	MU069578.1	<>	na	Primary Assembly	508992	na
DUNSAscaffold_144	unplaced-scaffold	na	na	MU069579.1	<>	na	Primary Assembly	505764	na
DUNSAscaffold_145	unplaced-scaffold	na	na	MU069580.1	<>	na	Primary Assembly	505733	na
DUNSAscaffold_146	unplaced-scaffold	na	na	MU069581.1	<>	na	Primary Assembly	503836	na
DUNSAscaffold_147	unplaced-scaffold	na	na	MU069582.1	<>	na	Primary Assembly	503591	na
DUNSAscaffold_148	unplaced-scaffold	na	na	MU069583.1	<>	na	Primary Assembly	501426	na
DUNSAscaffold_149	unplaced-scaffold	na	na	MU069584.1	<>	na	Primary Assembly	500462	na
DUNSAscaffold_150	unplaced-scaffold	na	na	MU069585.1	<>	na	Primary Assembly	500200	na
DUNSAscaffold_151	unplaced-scaffold	na	na	MU069586.1	<>	na	Primary Assembly	498700	na
DUNSAscaffold_152	unplaced-scaffold	na	na	MU069587.1	<>	na	Primary Assembly	497027	na
DUNSAscaffold_153	unplaced-scaffold	na	na	MU069588.1	<>	na	Primary Assembly	496381	na
DUNSAscaffold_154	unplaced-scaffold	na	na	MU069589.1	<>	na	Primary Assembly	495747	na
DUNSAscaffold_155	unplaced-scaffold	na	na	MU069590.1	<>	na	Primary Assembly	494173	na
DUNSAscaffold_156	unplaced-scaffold	na	na	MU069591.1	<>	na	Primary Assembly	492214	na
DUNSAscaffold_157	unplaced-scaffold	na	na	MU069592.1	<>	na	Primary Assembly	491318	na
DUNSAscaffold_158	unplaced-scaffold	na	na	MU069593.1	<>	na	Primary Assembly	491003	na
DUNSAscaffold_159	unplaced-scaffold	na	na	MU069594.1	<>	na	Primary Assembly	490467	na
DUNSAscaffold_160	unplaced-scaffold	na	na	MU069595.1	<>	na	Primary Assembly	490360	na
DUNSAscaffold_161	unplaced-scaffold	na	na	MU069596.1	<>	na	Primary Assembly	490183	na
DUNSAscaffold_162	unplaced-scaffold	na	na	MU069597.1	<>	na	Primary Assembly	490063	na
DUNSAscaffold_163	unplaced-scaffold	na	na	MU069598.1	<>	na	Primary Assembly	489940	na
DUNSAscaffold_164	unplaced-scaffold	na	na	MU069599.1	<>	na	Primary Assembly	489903	na
DUNSAscaffold_165	unplaced-scaffold	na	na	MU069600.1	<>	na	Primary Assembly	487729	na
DUNSAscaffold_166	unplaced-scaffold	na	na	MU069601.1	<>	na	Primary Assembly	486102	na
DUNSAscaffold_167	unplaced-scaffold	na	na	MU069602.1	<>	na	Primary Assembly	485482	na
DUNSAscaffold_168	unplaced-scaffold	na	na	MU069603.1	<>	na	Primary Assembly	483731	na
DUNSAscaffold_169	unplaced-scaffold	na	na	MU069604.1	<>	na	Primary Assembly	482528	na
DUNSAscaffold_170	unplaced-scaffold	na	na	MU069605.1	<>	na	Primary Assembly	482187	na
DUNSAscaffold_171	unplaced-scaffold	na	na	MU069606.1	<>	na	Primary Assembly	480502	na
DUNSAscaffold_172	unplaced-scaffold	na	na	MU069607.1	<>	na	Primary Assembly	479247	na
DUNSAscaffold_173	unplaced-scaffold	na	na	MU069608.1	<>	na	Primary Assembly	476857	na
DUNSAscaffold_174	unplaced-scaffold	na	na	MU069609.1	<>	na	Primary Assembly	476852	na
DUNSAscaffold_175	unplaced-scaffold	na	na	MU069610.1	<>	na	Primary Assembly	474058	na
DUNSAscaffold_176	unplaced-scaffold	na	na	MU069611.1	<>	na	Primary Assembly	473237	na
DUNSAscaffold_177	unplaced-scaffold	na	na	MU069612.1	<>	na	Primary Assembly	467228	na
DUNSAscaffold_178	unplaced-scaffold	na	na	MU069613.1	<>	na	Primary Assembly	467203	na
DUNSAscaffold_179	unplaced-scaffold	na	na	MU069614.1	<>	na	Primary Assembly	466982	na
DUNSAscaffold_180	unplaced-scaffold	na	na	MU069615.1	<>	na	Primary Assembly	465990	na
DUNSAscaffold_181	unplaced-scaffold	na	na	MU069616.1	<>	na	Primary Assembly	465301	na
DUNSAscaffold_182	unplaced-scaffold	na	na	MU069617.1	<>	na	Primary Assembly	465216	na
DUNSAscaffold_183	unplaced-scaffold	na	na	MU069618.1	<>	na	Primary Assembly	464989	na
DUNSAscaffold_184	unplaced-scaffold	na	na	MU069619.1	<>	na	Primary Assembly	463716	na
DUNSAscaffold_185	unplaced-scaffold	na	na	MU069620.1	<>	na	Primary Assembly	461542	na
DUNSAscaffold_186	unplaced-scaffold	na	na	MU069621.1	<>	na	Primary Assembly	461070	na
DUNSAscaffold_187	unplaced-scaffold	na	na	MU069622.1	<>	na	Primary Assembly	459351	na
DUNSAscaffold_188	unplaced-scaffold	na	na	MU069623.1	<>	na	Primary Assembly	455088	na
DUNSAscaffold_189	unplaced-scaffold	na	na	MU069624.1	<>	na	Primary Assembly	452435	na
DUNSAscaffold_190	unplaced-scaffold	na	na	MU069625.1	<>	na	Primary Assembly	451310	na
DUNSAscaffold_191	unplaced-scaffold	na	na	MU069626.1	<>	na	Primary Assembly	482977	na
DUNSAscaffold_192	unplaced-scaffold	na	na	MU069627.1	<>	na	Primary Assembly	450124	na
DUNSAscaffold_193	unplaced-scaffold	na	na	MU069628.1	<>	na	Primary Assembly	447950	na
DUNSAscaffold_194	unplaced-scaffold	na	na	MU069629.1	<>	na	Primary Assembly	445367	na
DUNSAscaffold_195	unplaced-scaffold	na	na	MU069630.1	<>	na	Primary Assembly	443725	na
DUNSAscaffold_196	unplaced-scaffold	na	na	MU069631.1	<>	na	Primary Assembly	443202	na
DUNSAscaffold_197	unplaced-scaffold	na	na	MU069632.1	<>	na	Primary Assembly	441202	na
DUNSAscaffold_198	unplaced-scaffold	na	na	MU069633.1	<>	na	Primary Assembly	440982	na
DUNSAscaffold_199	unplaced-scaffold	na	na	MU069634.1	<>	na	Primary Assembly	439938	na
DUNSAscaffold_200	unplaced-scaffold	na	na	MU069635.1	<>	na	Primary Assembly	439086	na
DUNSAscaffold_201	unplaced-scaffold	na	na	MU069636.1	<>	na	Primary Assembly	438798	na
DUNSAscaffold_202	unplaced-scaffold	na	na	MU069637.1	<>	na	Primary Assembly	438071	na
DUNSAscaffold_203	unplaced-scaffold	na	na	MU069638.1	<>	na	Primary Assembly	436387	na
DUNSAscaffold_204	unplaced-scaffold	na	na	MU069639.1	<>	na	Primary Assembly	435041	na
DUNSAscaffold_205	unplaced-scaffold	na	na	MU069640.1	<>	na	Primary Assembly	435016	na
DUNSAscaffold_206	unplaced-scaffold	na	na	MU069641.1	<>	na	Primary Assembly	434465	na
DUNSAscaffold_207	unplaced-scaffold	na	na	MU069642.1	<>	na	Primary Assembly	434117	na
DUNSAscaffold_208	unplaced-scaffold	na	na	MU069643.1	<>	na	Primary Assembly	433328	na
DUNSAscaffold_209	unplaced-scaffold	na	na	MU069644.1	<>	na	Primary Assembly	432787	na
DUNSAscaffold_210	unplaced-scaffold	na	na	MU069645.1	<>	na	Primary Assembly	431452	na
DUNSAscaffold_211	unplaced-scaffold	na	na	MU069646.1	<>	na	Primary Assembly	427334	na
DUNSAscaffold_212	unplaced-scaffold	na	na	MU069647.1	<>	na	Primary Assembly	427322	na
DUNSAscaffold_213	unplaced-scaffold	na	na	MU069648.1	<>	na	Primary Assembly	425972	na
DUNSAscaffold_214	unplaced-scaffold	na	na	MU069649.1	<>	na	Primary Assembly	421353	na
DUNSAscaffold_215	unplaced-scaffold	na	na	MU069650.1	<>	na	Primary Assembly	421304	na
DUNSAscaffold_216	unplaced-scaffold	na	na	MU069651.1	<>	na	Primary Assembly	419881	na
DUNSAscaffold_217	unplaced-scaffold	na	na	MU069652.1	<>	na	Primary Assembly	448248	na
DUNSAscaffold_218	unplaced-scaffold	na	na	MU069653.1	<>	na	Primary Assembly	419142	na
DUNSAscaffold_219	unplaced-scaffold	na	na	MU069654.1	<>	na	Primary Assembly	419141	na
DUNSAscaffold_220	unplaced-scaffold	na	na	MU069655.1	<>	na	Primary Assembly	418830	na
DUNSAscaffold_221	unplaced-scaffold	na	na	MU069656.1	<>	na	Primary Assembly	418233	na
DUNSAscaffold_222	unplaced-scaffold	na	na	MU069657.1	<>	na	Primary Assembly	417928	na
DUNSAscaffold_223	unplaced-scaffold	na	na	MU069658.1	<>	na	Primary Assembly	611876	na
DUNSAscaffold_224	unplaced-scaffold	na	na	MU069659.1	<>	na	Primary Assembly	416477	na
DUNSAscaffold_225	unplaced-scaffold	na	na	MU069660.1	<>	na	Primary Assembly	416302	na
DUNSAscaffold_226	unplaced-scaffold	na	na	MU069661.1	<>	na	Primary Assembly	415960	na
DUNSAscaffold_227	unplaced-scaffold	na	na	MU069662.1	<>	na	Primary Assembly	415181	na
DUNSAscaffold_228	unplaced-scaffold	na	na	MU069663.1	<>	na	Primary Assembly	413860	na
DUNSAscaffold_229	unplaced-scaffold	na	na	MU069664.1	<>	na	Primary Assembly	413826	na
DUNSAscaffold_230	unplaced-scaffold	na	na	MU069665.1	<>	na	Primary Assembly	409128	na
DUNSAscaffold_231	unplaced-scaffold	na	na	MU069666.1	<>	na	Primary Assembly	408899	na
DUNSAscaffold_232	unplaced-scaffold	na	na	MU069667.1	<>	na	Primary Assembly	407719	na
DUNSAscaffold_233	unplaced-scaffold	na	na	MU069668.1	<>	na	Primary Assembly	406495	na
DUNSAscaffold_234	unplaced-scaffold	na	na	MU069669.1	<>	na	Primary Assembly	404472	na
DUNSAscaffold_235	unplaced-scaffold	na	na	MU069670.1	<>	na	Primary Assembly	403910	na
DUNSAscaffold_236	unplaced-scaffold	na	na	MU069671.1	<>	na	Primary Assembly	403167	na
DUNSAscaffold_237	unplaced-scaffold	na	na	MU069672.1	<>	na	Primary Assembly	401206	na
DUNSAscaffold_238	unplaced-scaffold	na	na	MU069673.1	<>	na	Primary Assembly	401156	na
DUNSAscaffold_239	unplaced-scaffold	na	na	MU069674.1	<>	na	Primary Assembly	399036	na
DUNSAscaffold_240	unplaced-scaffold	na	na	MU069675.1	<>	na	Primary Assembly	397294	na
DUNSAscaffold_241	unplaced-scaffold	na	na	MU069676.1	<>	na	Primary Assembly	396960	na
DUNSAscaffold_242	unplaced-scaffold	na	na	MU069677.1	<>	na	Primary Assembly	396344	na
DUNSAscaffold_243	unplaced-scaffold	na	na	MU069678.1	<>	na	Primary Assembly	395636	na
DUNSAscaffold_244	unplaced-scaffold	na	na	MU069679.1	<>	na	Primary Assembly	395457	na
DUNSAscaffold_245	unplaced-scaffold	na	na	MU069680.1	<>	na	Primary Assembly	394636	na
DUNSAscaffold_246	unplaced-scaffold	na	na	MU069681.1	<>	na	Primary Assembly	393750	na
DUNSAscaffold_247	unplaced-scaffold	na	na	MU069682.1	<>	na	Primary Assembly	393609	na
DUNSAscaffold_248	unplaced-scaffold	na	na	MU069683.1	<>	na	Primary Assembly	393473	na
DUNSAscaffold_249	unplaced-scaffold	na	na	MU069684.1	<>	na	Primary Assembly	392972	na
DUNSAscaffold_250	unplaced-scaffold	na	na	MU069685.1	<>	na	Primary Assembly	392665	na
DUNSAscaffold_251	unplaced-scaffold	na	na	MU069686.1	<>	na	Primary Assembly	391885	na
DUNSAscaffold_252	unplaced-scaffold	na	na	MU069687.1	<>	na	Primary Assembly	391797	na
DUNSAscaffold_253	unplaced-scaffold	na	na	MU069688.1	<>	na	Primary Assembly	583753	na
